q,schedule,passenger_entered,passenger_exited,trams_too_late_cs,trams_too_late_pr, %trams_late_PR>1,%trams_lateCS>1,trams_too_early_cs,trams_too_early_pr,AVG_passenger_waiting_time,peak_tram_freq,offpeak_tram_freq,average_tramqueue_time_P+R De Uithof,average_tramqueue_time_WKZ,average_tramqueue_time_UMC,average_tramqueue_time_Heidelberglaan,average_tramqueue_time_Padualaan,average_tramqueue_time_Kromme Rijn,average_tramqueue_time_Galgenwaard,average_tramqueue_time_Vaartsche Rijn,average_tramqueue_time_Centraal Station,average_tramqueue_time_Vaartsche Rijn 2,average_tramqueue_time_Galgenwaard 2,average_tramqueue_time_Kromme Rijn 2,average_tramqueue_time_Padualaan 2,average_tramqueue_time_Heidelberglaan 2,average_tramqueue_time_UMC 2,average_tramqueue_time_WKZ 2,max_tramqueue_time_P+R De Uithof,max_tramqueue_time_WKZ,max_tramqueue_time_UMC,max_tramqueue_time_Heidelberglaan,max_tramqueue_time_Padualaan,max_tramqueue_time_Kromme Rijn,max_tramqueue_time_Galgenwaard,max_tramqueue_time_Vaartsche Rijn,max_tramqueue_time_Centraal Station,max_tramqueue_time_Vaartsche Rijn 2,max_tramqueue_time_Galgenwaard 2,max_tramqueue_time_Kromme Rijn 2,max_tramqueue_time_Padualaan 2,max_tramqueue_time_Heidelberglaan 2,max_tramqueue_time_UMC 2,max_tramqueue_time_WKZ 2
180,1,43503,43503,244,15,0.38910505836575876,1.556420233463035,0,0,92.02087959735304,180,780,52,0,0,0,7,0,7,30,36,2,31,9,15,4,16,8,689,0,0,0,7,0,7,89,312,2,85,20,32,7,48,19
180,1,42830,42830,250,26,2.3346303501945527,7.392996108949417,0,0,76.78825551725296,180,780,55,12,4,11,0,10,0,43,45,0,39,13,8,11,9,11,701,12,4,11,0,10,0,85,563,0,168,27,26,34,17,32
180,1,45003,45003,243,30,3.501945525291829,12.062256809338521,0,0,75.37215405293327,180,780,54,0,0,0,7,21,9,40,45,26,36,12,22,9,13,11,807,0,0,0,12,40,22,147,407,70,108,28,49,29,27,28
180,1,46059,46059,248,49,5.447470817120623,23.73540856031128,0,0,76.13440314981227,180,780,54,0,5,18,12,22,11,40,56,5,35,15,9,11,8,12,714,0,5,32,36,37,20,194,413,13,103,59,21,22,21,36
180,1,43308,43308,239,25,2.7237354085603114,8.171206225680933,0,0,72.00673963302063,180,780,57,0,0,0,16,12,10,39,41,1,23,8,12,23,19,9,838,0,0,0,20,26,10,108,548,1,44,21,30,33,28,13
180,1,46601,46601,248,35,5.447470817120623,15.56420233463035,0,0,78.86426966020844,180,780,53,5,11,1,18,15,3,34,52,24,29,11,14,14,11,8,710,8,11,2,25,28,7,120,561,39,72,22,46,33,28,13
180,1,44639,44639,244,24,3.11284046692607,7.003891050583658,0,0,80.56289345455095,180,780,52,8,4,10,21,11,9,21,42,37,27,6,32,12,10,3,700,8,4,11,38,14,19,64,552,50,81,14,75,30,24,6
180,1,44680,44680,245,48,6.614785992217899,19.45525291828794,0,0,82.98535840805927,180,780,56,0,12,28,8,5,7,37,48,9,40,10,10,9,17,7,700,0,12,48,17,12,11,113,551,14,127,24,32,25,43,27
180,1,43787,43787,245,20,3.501945525291829,5.058365758754864,0,0,79.41811643254005,180,780,53,0,0,10,8,7,11,38,38,39,41,8,13,18,9,16,700,0,0,10,15,17,25,80,360,55,116,18,36,42,28,61
180,1,45348,45348,245,25,1.556420233463035,9.72762645914397,0,0,97.89925561423482,180,780,53,0,0,0,0,9,9,45,44,19,35,8,13,26,14,9,705,0,0,0,0,17,20,149,334,21,127,27,41,56,25,12
180,1,43788,43788,245,28,2.7237354085603114,10.505836575875486,0,0,73.84418615894312,180,780,53,11,0,0,11,7,14,25,46,0,39,12,18,16,12,11,693,11,0,0,18,10,21,68,597,0,125,36,52,52,25,36
180,1,43661,43661,250,18,1.9455252918287937,5.058365758754864,0,0,74.99202734044019,180,780,54,0,0,0,19,2,4,39,40,0,21,6,13,14,12,15,749,0,0,0,19,2,7,137,548,0,70,9,28,27,36,27
180,1,42586,42586,250,22,1.556420233463035,8.560311284046692,0,0,78.45005889683361,180,780,52,0,5,35,5,11,5,41,45,0,32,7,15,11,15,18,669,0,5,35,5,21,6,195,339,0,70,16,39,25,58,56
180,1,42894,42894,247,19,1.556420233463035,4.669260700389105,0,0,78.65475895190956,180,780,57,0,0,0,18,0,16,35,38,0,25,9,17,13,13,21,721,0,0,0,20,0,22,83,302,0,59,41,21,20,30,61
180,1,43577,43577,246,15,0.7782101167315175,4.280155642023346,0,0,81.86546198292065,180,780,53,0,12,12,16,12,17,45,39,20,27,5,18,12,14,8,691,0,12,12,29,14,27,152,355,20,55,15,42,30,30,14
180,1,45195,45195,248,29,2.7237354085603114,11.284046692607005,0,0,90.48319308877137,180,780,53,0,16,1,12,13,12,36,45,0,20,9,13,19,7,16,698,0,18,1,24,35,22,142,361,0,42,42,68,115,17,38
