q,schedule,passenger_entered,passenger_exited,trams_too_late_cs,trams_too_late_pr, %trams_late_PR>1,%trams_lateCS>1,trams_too_early_cs,trams_too_early_pr,AVG_passenger_waiting_time,peak_tram_freq,offpeak_tram_freq,average_tramqueue_time_P+R De Uithof,average_tramqueue_time_WKZ,average_tramqueue_time_UMC,average_tramqueue_time_Heidelberglaan,average_tramqueue_time_Padualaan,average_tramqueue_time_Kromme Rijn,average_tramqueue_time_Galgenwaard,average_tramqueue_time_Vaartsche Rijn,average_tramqueue_time_Centraal Station,average_tramqueue_time_Vaartsche Rijn 2,average_tramqueue_time_Galgenwaard 2,average_tramqueue_time_Kromme Rijn 2,average_tramqueue_time_Padualaan 2,average_tramqueue_time_Heidelberglaan 2,average_tramqueue_time_UMC 2,average_tramqueue_time_WKZ 2,max_tramqueue_time_P+R De Uithof,max_tramqueue_time_WKZ,max_tramqueue_time_UMC,max_tramqueue_time_Heidelberglaan,max_tramqueue_time_Padualaan,max_tramqueue_time_Kromme Rijn,max_tramqueue_time_Galgenwaard,max_tramqueue_time_Vaartsche Rijn,max_tramqueue_time_Centraal Station,max_tramqueue_time_Vaartsche Rijn 2,max_tramqueue_time_Galgenwaard 2,max_tramqueue_time_Kromme Rijn 2,max_tramqueue_time_Padualaan 2,max_tramqueue_time_Heidelberglaan 2,max_tramqueue_time_UMC 2,max_tramqueue_time_WKZ 2
180,1,45185,45185,246,30,8.203125,14.0625,0,0,81.2972625291797,180,840,55,11,13,11,19,12,22,46,49,24,34,9,16,11,16,9,699,19,20,16,19,16,46,165,544,32,104,34,55,32,45,18
180,1,43900,43900,245,28,4.296875,13.28125,0,0,81.66595249230774,180,840,57,0,0,38,18,7,12,46,44,10,30,12,25,5,16,12,814,0,0,38,18,23,32,148,401,10,69,27,53,17,38,38
180,1,42717,42717,244,14,1.171875,5.078125,0,0,86.08419735527826,180,840,53,0,0,0,36,29,7,39,39,0,35,23,10,14,8,11,747,0,0,0,36,29,7,122,323,0,67,32,35,39,24,24
180,1,44562,44562,245,38,4.6875,17.96875,0,0,76.39375651807335,180,840,53,0,0,27,15,18,14,38,54,17,33,11,17,13,13,11,701,0,0,28,23,28,33,133,600,43,96,24,47,32,36,27
180,1,44882,44882,243,26,3.90625,9.375,0,0,74.76909528000262,180,840,55,0,0,10,6,6,15,51,45,10,23,14,14,7,14,10,796,0,0,13,11,6,20,140,623,17,59,28,25,17,31,26
180,1,42731,42731,243,7,0.0,1.953125,0,0,76.0511362508261,180,840,53,0,0,20,17,14,9,38,36,0,23,14,21,12,11,16,735,0,0,20,26,36,14,74,172,0,76,24,54,21,27,37
180,1,42542,42542,245,7,0.0,1.953125,0,0,69.10313996934202,180,840,53,0,0,0,0,10,8,29,36,0,54,14,6,8,12,10,756,0,0,0,0,10,15,59,186,0,163,37,15,16,29,21
180,1,43002,43002,249,17,1.171875,5.859375,0,0,72.18803257393652,180,840,54,0,0,11,0,2,14,47,40,0,20,14,18,15,10,23,791,0,0,11,0,4,18,159,339,0,36,32,39,41,23,50
180,1,45155,45155,243,53,13.671875,22.65625,0,0,74.87438138500717,180,840,56,3,7,6,16,11,15,38,54,18,35,18,8,9,10,13,784,3,14,7,29,18,48,82,411,31,122,34,18,31,46,40
180,1,42862,42862,243,15,0.390625,7.421875,0,0,73.43008485939205,180,840,52,0,0,27,3,8,14,24,41,33,35,7,10,10,11,11,789,0,0,27,6,8,15,77,358,33,60,12,18,20,25,21
180,1,43447,43447,247,20,1.171875,7.421875,0,0,75.08172496594483,180,840,55,52,8,62,6,10,11,25,42,17,36,12,15,13,15,12,749,52,8,62,9,13,17,78,553,17,130,52,46,30,38,40
180,1,42626,42626,244,16,0.78125,5.46875,0,0,80.08906827003288,180,840,54,0,4,3,5,15,35,34,40,23,26,10,18,15,14,13,751,0,4,3,5,15,35,107,549,23,67,37,45,56,34,22
180,1,45947,45947,245,33,2.734375,13.671875,0,0,100.28438978901416,180,840,56,0,0,20,11,17,8,31,47,21,60,9,25,10,12,14,807,0,0,20,16,27,17,106,549,53,137,17,40,28,38,42
180,1,45976,45976,243,56,16.015625,26.5625,0,0,74.83597859569404,180,840,57,17,6,28,7,19,19,27,59,21,23,8,10,10,17,9,784,34,9,86,15,48,38,85,461,21,46,22,19,14,52,23
180,1,43348,43348,246,18,1.171875,12.109375,0,0,79.97992573158477,180,840,51,9,6,9,16,0,6,37,46,11,34,13,16,7,13,4,857,9,6,15,43,0,15,157,561,11,84,32,63,18,20,5
180,1,43232,43232,248,19,1.171875,6.640625,0,0,85.83912208547439,180,840,53,0,0,29,24,4,9,35,42,27,35,13,18,6,8,9,804,0,0,36,27,11,20,80,311,27,208,40,36,27,14,29
180,1,43037,43037,248,25,2.34375,9.765625,0,0,91.28780230453032,180,840,53,0,4,0,0,2,4,28,45,11,28,10,15,8,4,19,666,0,4,0,0,2,6,70,571,11,80,22,30,35,9,46
180,1,43887,43887,244,17,1.953125,6.25,0,0,70.36160482097955,180,840,53,0,0,22,4,11,7,41,39,18,29,13,15,15,17,12,803,0,0,55,6,21,16,168,346,22,60,24,35,68,52,39
180,1,43251,43251,245,18,1.171875,8.59375,0,0,78.67930081198475,180,840,52,0,0,16,12,0,16,49,44,0,58,14,7,17,25,10,771,0,0,21,26,0,25,141,556,0,84,25,14,71,59,23
180,1,42780,42780,244,13,0.78125,4.6875,0,0,81.43461518319387,180,840,53,0,34,26,14,6,24,45,39,0,23,17,15,15,12,9,780,0,34,26,32,8,62,119,320,0,59,31,37,62,23,30
180,1,42908,42908,246,10,1.5625,3.125,0,0,90.35574406556555,180,840,55,0,0,9,21,26,10,30,37,0,37,18,20,8,11,9,788,0,0,9,21,26,15,100,354,0,76,48,49,29,27,25
180,1,42675,42675,241,20,1.5625,6.25,0,0,81.66321324946303,180,840,54,0,0,0,10,11,16,35,41,0,42,17,9,10,9,12,746,0,0,0,10,18,31,84,361,0,157,37,26,36,21,34
