q,schedule,passenger_entered,passenger_exited,trams_too_late_cs,trams_too_late_pr, %trams_late_PR>1,%trams_lateCS>1,trams_too_early_cs,trams_too_early_pr,AVG_passenger_waiting_time,peak_tram_freq,offpeak_tram_freq,average_tramqueue_time_P+R De Uithof,average_tramqueue_time_WKZ,average_tramqueue_time_UMC,average_tramqueue_time_Heidelberglaan,average_tramqueue_time_Padualaan,average_tramqueue_time_Kromme Rijn,average_tramqueue_time_Galgenwaard,average_tramqueue_time_Vaartsche Rijn,average_tramqueue_time_Centraal Station,average_tramqueue_time_Vaartsche Rijn 2,average_tramqueue_time_Galgenwaard 2,average_tramqueue_time_Kromme Rijn 2,average_tramqueue_time_Padualaan 2,average_tramqueue_time_Heidelberglaan 2,average_tramqueue_time_UMC 2,average_tramqueue_time_WKZ 2,max_tramqueue_time_P+R De Uithof,max_tramqueue_time_WKZ,max_tramqueue_time_UMC,max_tramqueue_time_Heidelberglaan,max_tramqueue_time_Padualaan,max_tramqueue_time_Kromme Rijn,max_tramqueue_time_Galgenwaard,max_tramqueue_time_Vaartsche Rijn,max_tramqueue_time_Centraal Station,max_tramqueue_time_Vaartsche Rijn 2,max_tramqueue_time_Galgenwaard 2,max_tramqueue_time_Kromme Rijn 2,max_tramqueue_time_Padualaan 2,max_tramqueue_time_Heidelberglaan 2,max_tramqueue_time_UMC 2,max_tramqueue_time_WKZ 2
180,1,43065,43065,247,11,1.153846153846154,3.076923076923077,0,0,71.95568653716369,180,660,54,0,0,54,26,13,23,32,35,0,48,6,13,15,8,6,639,0,0,77,28,21,58,87,303,0,107,19,35,41,28,17
180,1,44700,44700,248,45,6.153846153846154,20.384615384615383,0,0,71.58997033531476,180,660,49,20,3,24,11,13,6,49,53,52,50,11,17,11,22,17,597,22,3,34,16,33,9,189,541,57,142,28,50,55,43,41
180,1,44479,44479,245,29,3.4615384615384617,12.692307692307692,0,0,76.20491344194537,180,660,54,0,9,45,9,11,14,52,42,27,27,13,14,14,10,13,1020,0,9,45,9,16,32,126,315,30,64,49,28,25,19,38
180,1,42909,42909,250,18,1.153846153846154,4.230769230769231,0,0,81.33983930508641,180,660,53,0,0,4,7,15,5,30,35,0,32,20,19,22,12,16,595,0,0,4,10,18,8,100,309,0,114,45,65,46,32,33
180,1,42724,42724,250,9,0.0,0.7692307692307693,0,0,74.2245088232464,180,660,50,0,0,1,0,8,5,39,35,0,27,14,23,15,12,9,625,0,0,1,0,11,8,93,161,0,78,23,82,34,20,18
180,1,44382,44382,251,29,3.8461538461538463,11.923076923076923,0,0,75.62673922580167,180,660,52,0,32,0,24,10,16,59,46,19,27,18,13,23,15,13,594,0,32,0,24,10,24,132,544,19,75,52,31,62,36,23
180,1,42750,42750,253,21,2.6923076923076925,7.6923076923076925,0,0,73.79260185381142,180,660,52,0,0,58,10,7,24,31,42,0,36,17,17,24,13,11,602,0,0,58,10,7,67,73,347,0,117,54,35,117,44,32
180,1,43774,43774,251,24,4.615384615384616,11.153846153846155,0,0,73.09267433153971,180,660,54,2,1,10,10,24,10,38,46,18,30,10,16,9,7,5,613,2,1,20,24,42,27,100,553,20,74,27,36,39,18,10
180,1,42388,42388,247,15,0.7692307692307693,2.6923076923076925,0,0,80.35695175071498,180,660,52,0,0,0,5,21,17,28,35,0,28,14,18,13,13,6,665,0,0,0,10,28,36,66,165,0,108,27,34,22,57,12
180,1,43423,43423,249,19,1.153846153846154,4.615384615384616,0,0,73.24583768322452,180,660,54,0,0,7,5,2,1,41,38,8,27,7,20,20,17,8,637,0,0,13,9,8,2,117,306,8,66,23,49,62,52,20
180,1,42988,42988,246,11,0.38461538461538464,2.6923076923076925,0,0,75.67689232760372,180,660,52,0,0,19,16,9,11,37,38,0,32,22,10,10,14,10,639,0,0,19,16,9,15,140,325,0,76,46,27,27,37,26
180,1,42641,42641,250,17,1.153846153846154,10.384615384615385,0,0,76.11477622908959,180,660,53,0,0,2,14,19,14,30,46,0,28,12,15,8,10,10,630,0,0,4,27,22,21,117,361,0,121,20,30,18,20,25
180,1,44012,44012,252,33,3.8461538461538463,13.846153846153847,0,0,80.15332262646989,180,660,56,0,25,15,38,30,19,27,46,15,29,9,15,16,12,18,670,0,25,31,113,48,58,98,795,28,73,20,43,38,25,43
180,1,45575,45575,246,26,3.8461538461538463,15.384615384615385,0,0,72.12613342107646,180,660,53,0,9,8,9,10,14,45,48,28,51,14,14,10,19,16,580,0,13,11,16,25,37,190,352,55,183,42,34,16,38,30
180,1,42643,42643,247,15,2.307692307692308,8.461538461538462,0,0,71.84168957713095,180,660,54,0,0,7,19,23,12,29,42,0,24,10,10,4,11,8,580,0,0,17,32,33,16,91,548,0,52,21,24,11,22,20
180,1,45221,45221,251,35,3.4615384615384617,17.307692307692307,0,0,79.01465898073684,180,660,57,0,7,21,15,24,32,36,45,28,43,16,20,7,11,17,580,0,7,40,37,47,60,119,548,58,142,42,54,20,20,38
