q,schedule,passenger_entered,passenger_exited,trams_too_late_cs,trams_too_late_pr, %trams_late_PR>1,%trams_lateCS>1,trams_too_early_cs,trams_too_early_pr,AVG_passenger_waiting_time,peak_tram_freq,offpeak_tram_freq,average_tramqueue_time_P+R De Uithof,average_tramqueue_time_WKZ,average_tramqueue_time_UMC,average_tramqueue_time_Heidelberglaan,average_tramqueue_time_Padualaan,average_tramqueue_time_Kromme Rijn,average_tramqueue_time_Galgenwaard,average_tramqueue_time_Vaartsche Rijn,average_tramqueue_time_Centraal Station,average_tramqueue_time_Vaartsche Rijn 2,average_tramqueue_time_Galgenwaard 2,average_tramqueue_time_Kromme Rijn 2,average_tramqueue_time_Padualaan 2,average_tramqueue_time_Heidelberglaan 2,average_tramqueue_time_UMC 2,average_tramqueue_time_WKZ 2,max_tramqueue_time_P+R De Uithof,max_tramqueue_time_WKZ,max_tramqueue_time_UMC,max_tramqueue_time_Heidelberglaan,max_tramqueue_time_Padualaan,max_tramqueue_time_Kromme Rijn,max_tramqueue_time_Galgenwaard,max_tramqueue_time_Vaartsche Rijn,max_tramqueue_time_Centraal Station,max_tramqueue_time_Vaartsche Rijn 2,max_tramqueue_time_Galgenwaard 2,max_tramqueue_time_Kromme Rijn 2,max_tramqueue_time_Padualaan 2,max_tramqueue_time_Heidelberglaan 2,max_tramqueue_time_UMC 2,max_tramqueue_time_WKZ 2
180,1,44628,39865,278,310,95.3560371517028,84.21052631578947,0,0,72.39432810972616,60,720,125,20,18,18,17,14,13,49,1023,38,32,14,15,12,8,11,1860,70,47,93,127,35,69,216,4352,66,137,51,54,55,21,38
180,1,52509,51066,265,285,91.63879598662207,86.62207357859532,0,0,79.10578563850825,60,720,54,19,13,26,15,30,19,41,1472,20,40,15,18,15,13,12,960,83,36,105,82,116,65,114,5337,62,173,47,44,63,42,29
180,1,32021,28461,181,210,91.1504424778761,77.43362831858407,0,0,68.88290641022114,60,720,105,16,11,21,11,17,13,41,1064,20,31,10,20,12,11,11,1107,60,32,66,37,49,57,174,4391,42,193,31,55,35,46,25
180,1,45603,45078,343,349,93.97260273972603,92.32876712328768,0,0,59.77442416488574,60,720,110,18,19,18,14,19,11,43,951,11,37,14,17,10,10,17,733,57,62,71,45,50,34,145,4372,28,151,39,55,38,51,79
180,1,53653,53653,307,292,93.18181818181817,97.72727272727273,0,0,82.40628239016773,60,720,52,11,13,17,14,19,11,42,1441,23,43,15,15,12,14,13,635,32,48,83,58,52,49,161,5405,61,172,59,50,39,34,27
180,1,46077,46077,366,352,93.46049046321527,98.09264305177112,0,0,80.51996918286811,60,720,228,15,16,17,17,15,14,38,859,10,27,9,9,11,11,11,1533,71,49,52,71,38,40,136,4058,20,87,31,34,38,46,48
180,1,46053,46053,371,357,95.43010752688173,98.38709677419355,0,0,64.42823286653056,60,720,216,18,16,30,15,20,14,55,831,11,40,12,14,10,12,9,1233,42,42,118,61,58,42,166,3975,31,133,33,42,32,40,33
180,1,46553,46553,374,359,93.60000000000001,98.13333333333333,0,0,68.00678554237916,60,720,64,17,14,15,13,13,9,41,978,15,39,16,15,15,13,12,730,45,55,59,53,46,39,140,4077,72,163,67,51,72,52,41
180,1,45726,45726,374,359,94.41489361702128,98.13829787234043,0,0,62.455251728020556,60,720,73,14,11,15,14,18,14,43,962,9,41,12,14,10,14,12,730,40,44,52,45,67,50,146,4258,11,118,37,45,41,40,44
180,1,51205,51205,318,302,93.10344827586206,97.80564263322884,0,0,102.22233670018397,60,720,567,15,15,22,13,18,15,37,885,18,37,11,13,13,11,11,4098,52,44,119,80,50,92,106,5146,58,152,32,37,72,41,49
180,1,49371,49117,313,313,95.37037037037037,94.75308641975309,0,0,77.2458276617062,60,720,329,16,11,20,15,14,9,50,1010,26,38,18,13,17,12,12,1908,62,61,63,60,53,29,188,5580,66,88,91,67,38,49,56
180,1,39912,34893,278,308,92.87925696594426,97.4910394265233,0,0,52.81294752590788,60,720,107,19,12,18,11,13,16,44,929,14,40,13,15,10,13,10,878,47,35,61,53,41,60,140,4036,31,153,48,47,28,53,31
180,1,45911,45911,376,360,94.6949602122016,98.14323607427056,0,0,64.02538157659612,60,720,62,12,19,9,11,17,14,40,972,16,39,14,13,11,13,11,970,39,69,25,49,49,54,165,4011,40,192,54,43,54,46,57
180,1,45684,45684,377,361,94.42970822281167,98.14323607427056,0,0,82.65165376721646,60,720,64,16,18,14,12,12,13,45,966,25,31,16,14,10,13,10,1162,40,45,45,44,37,47,160,4137,62,96,75,45,38,41,37
180,1,45447,45447,375,359,94.68085106382979,98.13829787234043,0,0,77.80585228849846,60,720,116,16,18,20,10,14,11,51,920,13,31,12,16,11,11,7,970,46,75,84,56,46,37,175,4067,32,163,49,53,33,62,26
180,1,53590,53590,307,293,92.85714285714286,97.72727272727273,0,0,110.76914246446684,60,720,58,14,13,18,13,20,12,48,1432,16,48,15,15,12,12,13,754,45,64,112,46,49,57,169,5411,45,140,45,74,49,44,32
180,1,38783,34528,250,282,94.91525423728814,82.71186440677965,0,0,56.275866850278945,60,720,95,17,14,14,10,16,11,45,974,27,42,12,17,16,10,12,918,49,31,58,44,49,35,150,4084,54,134,33,49,42,32,26
