q,schedule,passenger_entered,passenger_exited,trams_too_late_cs,trams_too_late_pr, %trams_late_PR>1,%trams_lateCS>1,trams_too_early_cs,trams_too_early_pr,AVG_passenger_waiting_time,peak_tram_freq,offpeak_tram_freq,average_tramqueue_time_P+R De Uithof,average_tramqueue_time_WKZ,average_tramqueue_time_UMC,average_tramqueue_time_Heidelberglaan,average_tramqueue_time_Padualaan,average_tramqueue_time_Kromme Rijn,average_tramqueue_time_Galgenwaard,average_tramqueue_time_Vaartsche Rijn,average_tramqueue_time_Centraal Station,average_tramqueue_time_Vaartsche Rijn 2,average_tramqueue_time_Galgenwaard 2,average_tramqueue_time_Kromme Rijn 2,average_tramqueue_time_Padualaan 2,average_tramqueue_time_Heidelberglaan 2,average_tramqueue_time_UMC 2,average_tramqueue_time_WKZ 2,max_tramqueue_time_P+R De Uithof,max_tramqueue_time_WKZ,max_tramqueue_time_UMC,max_tramqueue_time_Heidelberglaan,max_tramqueue_time_Padualaan,max_tramqueue_time_Kromme Rijn,max_tramqueue_time_Galgenwaard,max_tramqueue_time_Vaartsche Rijn,max_tramqueue_time_Centraal Station,max_tramqueue_time_Vaartsche Rijn 2,max_tramqueue_time_Galgenwaard 2,max_tramqueue_time_Kromme Rijn 2,max_tramqueue_time_Padualaan 2,max_tramqueue_time_Heidelberglaan 2,max_tramqueue_time_UMC 2,max_tramqueue_time_WKZ 2
180,1,44098,44098,245,43,4.263565891472868,17.05426356589147,0,0,72.66637947124345,180,720,58,0,15,22,16,5,6,32,50,6,42,17,15,11,8,11,642,0,15,28,39,10,19,117,383,11,121,68,39,33,31,31
180,1,42511,42511,244,12,0.0,3.875968992248062,0,0,68.03403734089923,180,720,52,0,0,0,20,17,6,34,37,0,24,14,14,15,4,19,655,0,0,0,40,32,11,142,312,0,68,34,44,43,10,46
180,1,43377,43377,245,25,3.10077519379845,10.852713178294573,0,0,72.04461745601486,180,720,51,2,0,33,39,17,30,37,47,22,37,12,11,16,9,12,678,2,0,41,60,17,54,125,558,26,94,15,28,37,28,31
180,1,43778,43778,241,16,1.550387596899225,6.2015503875969,0,0,91.21901455010524,180,720,52,0,0,7,0,24,10,38,39,0,26,9,16,18,14,11,715,0,0,7,0,26,12,90,249,0,80,30,43,83,40,38
180,1,42739,42739,246,18,2.7131782945736433,5.426356589147287,0,0,78.46819456143095,180,720,53,0,0,0,2,9,5,31,40,0,37,15,8,7,17,14,690,0,0,0,3,16,10,67,539,0,138,32,23,25,66,22
180,1,44413,44413,243,29,6.2015503875969,16.27906976744186,0,0,88.60851150817258,180,720,52,18,14,20,40,15,50,36,50,18,35,10,12,15,11,8,786,25,22,35,88,27,56,154,586,18,98,28,24,50,32,13
180,1,43394,43394,249,25,2.3255813953488373,9.689922480620156,0,0,78.48307743005658,180,720,53,0,0,0,3,12,6,44,42,0,40,10,8,8,16,18,576,0,0,0,4,19,9,212,553,0,92,34,21,28,56,31
180,1,45801,45801,248,53,8.914728682170542,28.294573643410853,0,0,85.21011642854636,180,720,55,0,0,6,13,0,4,51,61,7,30,17,18,10,12,16,778,0,0,6,28,0,5,205,783,7,159,38,42,24,40,42
180,1,44174,44174,246,13,1.1627906976744187,6.2015503875969,0,0,71.6429116295739,180,720,52,0,0,0,5,19,17,30,41,13,38,10,13,14,10,13,736,0,0,0,7,48,28,61,308,24,98,32,55,39,28,22
180,1,42583,42583,251,13,0.7751937984496124,6.2015503875969,0,0,69.27445684747799,180,720,52,0,0,2,12,24,22,38,42,0,19,18,10,15,13,16,773,0,0,2,13,24,22,96,566,0,92,44,27,27,25,27
180,1,44956,44956,244,38,6.976744186046512,16.27906976744186,0,0,76.6203210250299,180,720,52,4,0,5,14,27,16,35,47,15,31,30,15,17,12,11,646,4,0,5,29,29,18,81,385,27,77,60,19,27,18,17
