q,schedule,passenger_entered,passenger_exited,trams_too_late_cs,trams_too_late_pr, %trams_late_PR>1,%trams_lateCS>1,trams_too_early_cs,trams_too_early_pr,AVG_passenger_waiting_time,peak_tram_freq,offpeak_tram_freq,average_tramqueue_time_P+R De Uithof,average_tramqueue_time_WKZ,average_tramqueue_time_UMC,average_tramqueue_time_Heidelberglaan,average_tramqueue_time_Padualaan,average_tramqueue_time_Kromme Rijn,average_tramqueue_time_Galgenwaard,average_tramqueue_time_Vaartsche Rijn,average_tramqueue_time_Centraal Station,average_tramqueue_time_Vaartsche Rijn 2,average_tramqueue_time_Galgenwaard 2,average_tramqueue_time_Kromme Rijn 2,average_tramqueue_time_Padualaan 2,average_tramqueue_time_Heidelberglaan 2,average_tramqueue_time_UMC 2,average_tramqueue_time_WKZ 2,max_tramqueue_time_P+R De Uithof,max_tramqueue_time_WKZ,max_tramqueue_time_UMC,max_tramqueue_time_Heidelberglaan,max_tramqueue_time_Padualaan,max_tramqueue_time_Kromme Rijn,max_tramqueue_time_Galgenwaard,max_tramqueue_time_Vaartsche Rijn,max_tramqueue_time_Centraal Station,max_tramqueue_time_Vaartsche Rijn 2,max_tramqueue_time_Galgenwaard 2,max_tramqueue_time_Kromme Rijn 2,max_tramqueue_time_Padualaan 2,max_tramqueue_time_Heidelberglaan 2,max_tramqueue_time_UMC 2,max_tramqueue_time_WKZ 2
180,1,54064,54064,307,292,94.48051948051948,98.05194805194806,0,0,94.81785098943713,60,720,53,18,15,19,20,17,18,47,1427,18,61,11,14,14,13,12,892,51,47,58,71,65,45,143,5226,72,236,35,35,40,33,35
180,1,46725,46725,374,359,94.13333333333334,98.13333333333333,0,0,64.19585092605573,60,720,62,19,14,13,10,13,11,49,979,27,37,15,16,12,15,12,910,57,48,37,26,59,56,173,4167,71,126,53,43,33,79,34
180,1,46473,46473,369,354,93.78378378378378,98.1081081081081,0,0,64.08559609143401,60,720,255,20,17,21,10,17,15,41,802,20,39,12,14,14,12,11,1459,45,45,97,33,64,44,152,4384,46,125,51,70,90,58,35
180,1,50835,50835,348,335,94.26934097421203,97.99426934097421,0,0,71.9582511430842,60,720,64,15,20,18,16,14,13,48,1125,19,33,13,13,11,14,16,1390,48,68,80,51,58,43,164,5402,93,115,51,49,35,38,42
180,1,48551,48551,368,352,94.03794037940379,98.1029810298103,0,0,63.78810912190772,60,720,102,16,13,16,16,17,13,45,969,14,40,12,18,14,13,11,807,43,32,72,74,60,48,141,4913,39,145,38,46,73,40,47
180,1,44272,38780,196,228,93.3609958506224,78.83817427385893,0,0,83.83282850534272,60,720,65,16,17,14,16,21,12,47,1451,15,53,11,16,12,10,25,1113,53,44,55,78,68,53,140,5299,40,181,21,52,28,38,42
180,1,39620,34581,172,204,92.16589861751152,76.49769585253456,0,0,77.24015913441531,60,720,56,17,15,21,11,13,13,49,1491,25,40,14,13,14,9,12,701,39,38,60,35,39,37,125,5485,53,132,41,57,50,21,32
180,1,53263,53263,305,290,93.79084967320262,97.7124183006536,0,0,93.55085476648763,60,720,57,13,16,23,17,14,11,48,1443,17,35,14,14,11,12,10,1030,59,43,141,62,49,32,183,5385,72,144,46,47,46,25,33
180,1,47448,47448,373,358,94.38502673796792,98.1283422459893,0,0,78.60267072449956,60,720,55,20,16,19,12,19,14,38,995,22,36,10,15,12,11,10,610,52,41,64,33,58,49,122,4595,71,117,43,57,41,40,31
180,1,47025,47025,374,360,95.46666666666667,98.13333333333333,0,0,93.3115549646989,60,720,64,21,13,22,19,15,16,38,973,14,33,14,18,13,9,11,950,64,43,118,56,44,70,114,4258,23,118,53,70,84,32,34
