q,schedule,passenger_entered,passenger_exited,trams_too_late_cs,trams_too_late_pr, %trams_late_PR>1,%trams_lateCS>1,trams_too_early_cs,trams_too_early_pr,AVG_passenger_waiting_time,peak_tram_freq,offpeak_tram_freq,average_tramqueue_time_P+R De Uithof,average_tramqueue_time_WKZ,average_tramqueue_time_UMC,average_tramqueue_time_Heidelberglaan,average_tramqueue_time_Padualaan,average_tramqueue_time_Kromme Rijn,average_tramqueue_time_Galgenwaard,average_tramqueue_time_Vaartsche Rijn,average_tramqueue_time_Centraal Station,average_tramqueue_time_Vaartsche Rijn 2,average_tramqueue_time_Galgenwaard 2,average_tramqueue_time_Kromme Rijn 2,average_tramqueue_time_Padualaan 2,average_tramqueue_time_Heidelberglaan 2,average_tramqueue_time_UMC 2,average_tramqueue_time_WKZ 2,max_tramqueue_time_P+R De Uithof,max_tramqueue_time_WKZ,max_tramqueue_time_UMC,max_tramqueue_time_Heidelberglaan,max_tramqueue_time_Padualaan,max_tramqueue_time_Kromme Rijn,max_tramqueue_time_Galgenwaard,max_tramqueue_time_Vaartsche Rijn,max_tramqueue_time_Centraal Station,max_tramqueue_time_Vaartsche Rijn 2,max_tramqueue_time_Galgenwaard 2,max_tramqueue_time_Kromme Rijn 2,max_tramqueue_time_Padualaan 2,max_tramqueue_time_Heidelberglaan 2,max_tramqueue_time_UMC 2,max_tramqueue_time_WKZ 2
180,1,66779,66779,190,95,6.0606060606060606,18.68686868686869,0,0,214.96730259512722,240,720,39,0,0,34,34,14,21,66,43,30,58,5,20,1,20,7,368,0,0,44,60,16,50,93,372,30,130,6,36,2,23,7
180,1,66191,66191,193,85,1.5151515151515151,4.040404040404041,0,0,219.1848363070508,240,720,42,0,0,9,35,0,0,19,28,0,0,1,8,0,2,32,398,0,0,9,35,0,0,67,120,0,0,1,8,0,2,32
180,1,66215,66215,193,89,5.555555555555555,14.14141414141414,0,0,200.2516574794231,240,720,44,0,0,27,24,10,1,40,43,9,78,6,24,10,14,0,420,0,0,52,29,10,1,143,681,9,78,6,36,10,14,0
180,1,66193,66193,194,92,9.090909090909092,19.696969696969695,0,0,207.53202755578386,240,720,40,0,0,13,32,5,7,35,47,0,27,12,5,12,14,8,377,0,0,20,44,12,12,103,1004,0,35,12,5,23,24,14
180,1,66751,66751,193,88,7.07070707070707,15.151515151515152,0,0,212.90946952105585,240,720,40,0,0,29,17,5,0,24,47,0,35,12,12,19,73,18,398,0,0,29,44,6,0,56,1170,0,43,34,19,31,73,25
180,1,66545,66545,190,81,4.040404040404041,10.606060606060606,0,0,213.83856788639267,240,720,41,15,19,30,23,13,12,38,39,0,37,0,17,8,0,0,360,15,19,57,29,13,23,92,363,0,37,0,20,8,0,0
180,1,65829,65829,191,92,1.5151515151515151,9.090909090909092,0,0,214.10681462577284,240,720,40,0,0,0,9,19,3,52,26,0,8,7,28,18,8,16,410,0,0,0,14,19,5,101,98,0,8,7,66,23,10,18
180,1,66778,66778,192,88,4.545454545454546,11.616161616161616,0,0,211.10314774326875,240,720,60,0,0,5,12,0,0,14,33,0,74,21,7,11,10,9,840,0,0,5,12,0,0,23,405,0,74,21,7,11,18,10
180,1,66241,66241,190,78,4.040404040404041,14.646464646464647,0,0,214.66587913829804,240,720,38,0,0,4,17,15,13,69,33,0,30,11,5,5,12,29,448,0,0,5,38,26,21,144,408,0,30,11,7,12,16,29
180,1,66108,66108,193,79,2.0202020202020203,11.616161616161616,0,0,204.1981076420403,240,720,41,15,20,48,5,0,25,38,32,18,43,17,17,11,13,2,311,15,20,48,5,0,25,104,351,18,52,17,60,22,22,5
180,1,66693,66693,193,79,1.5151515151515151,7.575757575757576,0,0,215.99273536952904,240,720,43,0,0,25,24,21,0,49,26,0,20,4,11,7,15,9,431,0,0,25,27,24,0,117,111,0,36,7,33,11,33,15
180,1,65966,65966,193,81,4.545454545454546,7.575757575757576,0,0,217.11414971348876,240,720,40,0,0,0,0,37,0,30,28,0,30,1,15,10,13,3,360,0,0,0,0,37,0,41,136,0,30,2,34,10,13,3
180,1,66015,66015,193,91,1.0101010101010102,7.07070707070707,0,0,213.2104976141786,240,720,40,0,0,0,58,17,0,23,24,0,0,0,16,10,0,4,400,0,0,0,58,17,0,36,92,0,0,0,31,10,0,13
180,1,68166,68166,192,96,5.555555555555555,14.14141414141414,0,0,216.23266731214974,240,720,39,0,0,150,18,14,5,50,39,0,64,19,41,11,4,10,345,0,0,150,27,14,9,102,363,0,64,19,72,18,4,10
180,1,66681,66681,191,82,3.0303030303030303,12.626262626262626,0,0,232.27428352904127,240,720,39,0,0,13,52,20,11,54,35,34,43,10,33,24,1,6,480,0,0,13,52,29,13,123,370,34,121,18,45,26,1,12
180,1,65714,65714,194,91,3.0303030303030303,8.080808080808081,0,0,201.05654807194813,240,720,37,0,0,52,37,2,20,35,27,0,2,10,11,19,27,7,397,0,0,52,43,2,20,63,143,0,2,10,16,36,34,13
180,1,65862,65862,192,77,2.525252525252525,9.090909090909092,0,0,209.7489675381859,240,720,42,0,0,0,0,4,16,29,32,0,0,3,12,0,11,0,414,0,0,0,0,4,16,95,122,0,0,3,22,0,17,0
180,1,66358,66358,194,87,1.5151515151515151,9.090909090909092,0,0,221.2861297808855,240,720,38,0,0,63,21,15,4,53,29,0,44,13,19,18,1,5,412,0,0,63,27,22,11,111,232,0,44,13,31,26,1,8
180,1,66247,66247,192,89,3.535353535353535,15.151515151515152,0,0,215.84441559617795,240,720,47,0,0,14,10,20,55,36,36,0,13,3,11,13,6,10,448,0,0,14,10,20,55,106,397,0,13,3,18,13,11,18
180,1,66141,66141,192,80,4.040404040404041,13.636363636363635,0,0,208.8433422536702,240,720,38,0,0,0,27,21,4,66,38,22,35,0,17,0,7,8,375,0,0,0,33,27,4,166,897,27,35,0,22,1,9,9
180,1,66392,66392,192,95,4.545454545454546,8.585858585858585,0,0,216.30002861790578,240,720,47,0,10,45,11,3,1,27,26,0,41,14,27,16,26,15,427,0,10,69,24,3,1,51,131,0,58,20,41,16,26,16
180,1,65992,65992,193,91,2.0202020202020203,11.616161616161616,0,0,213.63328130682507,240,720,40,0,0,10,19,0,0,75,32,0,33,21,13,4,6,13,361,0,0,10,19,0,0,75,186,0,59,37,24,7,11,23
180,1,65698,65698,192,92,2.525252525252525,11.11111111111111,0,0,217.36068830101374,240,720,39,0,0,0,13,32,19,44,31,0,26,0,13,5,41,4,420,0,0,0,13,32,19,91,177,0,26,0,15,12,71,10
180,1,66018,66018,192,82,1.5151515151515151,7.07070707070707,0,0,215.76299645551214,240,720,37,0,0,0,25,11,20,29,22,19,0,0,1,20,0,0,403,0,0,0,25,11,29,63,100,19,0,0,1,20,0,0
180,1,66564,66564,193,91,1.5151515151515151,10.1010101010101,0,0,210.77289525869838,240,720,40,0,0,0,11,0,0,23,27,0,0,0,7,19,19,9,369,0,0,0,11,0,0,48,99,0,0,0,7,35,43,15
180,1,67185,67185,191,93,6.0606060606060606,13.131313131313133,0,0,212.97564932648658,240,720,44,28,17,19,15,17,10,45,36,0,23,15,26,0,7,0,436,49,17,29,18,17,10,82,392,0,61,19,38,0,7,0
180,1,65786,65786,194,86,3.0303030303030303,13.131313131313133,0,0,205.81257410391268,240,720,42,0,0,0,19,4,6,42,36,0,38,0,14,12,4,9,433,0,0,0,19,4,6,62,628,0,56,0,26,16,7,18
180,1,66717,66717,192,99,3.0303030303030303,10.606060606060606,0,0,213.11880030576916,240,720,40,10,4,9,15,22,12,35,35,17,18,7,14,8,19,7,403,10,4,13,24,28,19,62,323,17,34,10,28,12,27,12
180,1,66821,66821,191,98,5.555555555555555,13.131313131313133,0,0,207.0735696861765,240,720,40,0,9,26,60,36,0,37,32,0,10,9,32,0,20,3,372,0,9,26,171,36,0,69,393,0,12,11,53,0,20,9
180,1,65737,65737,193,77,3.0303030303030303,8.585858585858585,0,0,216.45927711943045,240,720,42,0,0,0,12,0,0,28,28,0,0,1,7,18,22,1,388,0,0,0,12,0,0,52,112,0,0,1,15,50,25,1
180,1,66163,66163,192,77,5.555555555555555,13.131313131313133,0,0,216.73099768752928,240,720,42,0,0,15,25,13,10,32,32,24,31,19,26,22,32,11,420,0,0,15,43,13,11,63,176,24,31,25,68,49,32,17
180,1,66726,66726,194,101,6.0606060606060606,12.626262626262626,0,0,212.3899904085364,240,720,40,0,0,43,21,14,23,18,40,0,50,15,19,12,4,0,455,0,0,43,31,20,40,42,625,0,87,25,41,40,8,0
180,1,66149,66149,192,89,5.05050505050505,10.606060606060606,0,0,213.26136449530605,240,720,42,0,0,2,6,9,0,38,45,0,18,5,7,26,2,16,379,0,0,2,15,9,0,61,902,0,37,9,9,26,2,16
180,1,66536,66536,193,89,1.5151515151515151,7.575757575757576,0,0,210.53318504268367,240,720,40,0,0,0,14,11,4,36,27,0,107,6,8,3,25,4,420,0,0,0,24,19,13,124,110,0,107,6,25,4,39,7
180,1,66330,66330,192,80,3.0303030303030303,12.121212121212121,0,0,213.05857832051862,240,720,43,0,0,0,0,0,3,52,33,0,11,0,14,7,31,10,410,0,0,0,0,0,3,120,379,0,14,0,14,7,31,19
180,1,66363,66363,193,95,5.05050505050505,11.616161616161616,0,0,212.02817081807635,240,720,43,0,0,0,9,7,5,24,28,0,0,5,111,25,6,11,325,0,0,0,24,16,10,33,130,0,0,5,111,65,7,21
180,1,66109,66109,191,85,3.0303030303030303,11.11111111111111,0,0,210.94814624332543,240,720,39,0,0,12,12,0,0,13,33,0,16,0,35,19,6,12,390,0,0,12,23,0,0,17,360,0,31,0,35,32,16,16
180,1,66246,66246,192,89,3.0303030303030303,12.626262626262626,0,0,200.3487531322646,240,720,40,0,0,0,17,19,6,34,36,0,0,0,6,8,7,0,385,0,0,0,17,33,9,92,392,0,0,0,6,13,12,0
180,1,66738,66738,194,92,4.040404040404041,12.626262626262626,0,0,206.96097425754442,240,720,42,0,0,0,7,16,0,32,31,0,16,13,18,20,19,9,391,0,0,0,12,20,0,72,160,0,16,17,24,29,60,10
180,1,65633,65633,194,93,2.0202020202020203,6.565656565656567,0,0,203.9872320326665,240,720,41,0,0,0,29,2,14,6,28,0,4,1,12,14,11,11,452,0,0,0,29,2,14,8,118,0,7,2,29,15,11,11
180,1,66543,66543,193,86,3.0303030303030303,12.121212121212121,0,0,212.09460048389764,240,720,41,0,0,0,0,3,0,30,39,13,22,2,14,6,19,13,467,0,0,0,0,3,0,48,387,13,56,2,28,15,33,34
180,1,65941,65941,191,91,2.525252525252525,11.616161616161616,0,0,216.62139639981194,240,720,37,0,0,0,0,26,7,42,32,3,52,0,17,29,21,6,413,0,0,0,0,26,7,86,217,3,52,0,26,29,32,10
180,1,66493,66493,193,91,3.0303030303030303,10.606060606060606,0,0,207.31613102131053,240,720,38,0,0,24,54,12,0,35,35,0,112,0,38,13,2,19,326,0,0,24,99,22,0,109,397,0,112,0,59,13,2,27
180,1,66677,66677,192,81,4.040404040404041,11.11111111111111,0,0,222.13770865515846,240,720,42,0,0,24,17,6,17,49,30,0,108,1,19,18,10,7,396,0,0,24,34,6,17,135,115,0,145,1,24,22,14,11
180,1,66070,66070,194,90,4.040404040404041,7.575757575757576,0,0,209.68326774632965,240,720,39,0,0,0,18,25,12,18,31,0,111,15,14,7,27,11,426,0,0,0,19,45,12,44,209,0,111,15,20,12,27,24
180,1,65874,65874,190,78,3.0303030303030303,13.131313131313133,0,0,217.57965965327747,240,720,47,0,0,14,18,19,18,45,28,0,39,18,9,13,18,12,402,0,0,14,32,26,26,158,125,0,39,18,15,13,47,15
180,1,66173,66173,191,82,3.535353535353535,7.07070707070707,0,0,220.09821981775045,240,720,39,0,0,0,7,0,0,9,31,0,54,27,11,10,7,8,360,0,0,0,7,0,0,9,364,0,73,33,20,23,7,12
