q,schedule,passenger_entered,passenger_exited,trams_too_late_cs,trams_too_late_pr, %trams_late_PR>1,%trams_lateCS>1,trams_too_early_cs,trams_too_early_pr,AVG_passenger_waiting_time,peak_tram_freq,offpeak_tram_freq,average_tramqueue_time_P+R De Uithof,average_tramqueue_time_WKZ,average_tramqueue_time_UMC,average_tramqueue_time_Heidelberglaan,average_tramqueue_time_Padualaan,average_tramqueue_time_Kromme Rijn,average_tramqueue_time_Galgenwaard,average_tramqueue_time_Vaartsche Rijn,average_tramqueue_time_Centraal Station,average_tramqueue_time_Vaartsche Rijn 2,average_tramqueue_time_Galgenwaard 2,average_tramqueue_time_Kromme Rijn 2,average_tramqueue_time_Padualaan 2,average_tramqueue_time_Heidelberglaan 2,average_tramqueue_time_UMC 2,average_tramqueue_time_WKZ 2,max_tramqueue_time_P+R De Uithof,max_tramqueue_time_WKZ,max_tramqueue_time_UMC,max_tramqueue_time_Heidelberglaan,max_tramqueue_time_Padualaan,max_tramqueue_time_Kromme Rijn,max_tramqueue_time_Galgenwaard,max_tramqueue_time_Vaartsche Rijn,max_tramqueue_time_Centraal Station,max_tramqueue_time_Vaartsche Rijn 2,max_tramqueue_time_Galgenwaard 2,max_tramqueue_time_Kromme Rijn 2,max_tramqueue_time_Padualaan 2,max_tramqueue_time_Heidelberglaan 2,max_tramqueue_time_UMC 2,max_tramqueue_time_WKZ 2
180,1,45509,45509,192,44,3.0303030303030303,2.525252525252525,0,0,234.87289327385793,240,720,55,2,38,6,5,0,2,49,30,0,0,0,28,16,36,3,600,2,38,8,5,0,2,94,587,0,0,0,28,16,36,3
180,1,45284,45284,189,60,4.545454545454546,4.545454545454546,0,0,248.19002296616907,240,720,51,0,0,56,91,25,2,10,31,0,0,0,0,0,0,12,840,0,0,56,91,29,2,18,368,0,0,0,0,0,0,20
180,1,44619,44619,189,52,1.0101010101010102,1.0101010101010102,0,0,230.40518613146867,240,720,47,0,0,0,0,0,0,0,22,0,6,4,11,9,6,31,432,0,0,0,0,0,0,0,80,0,12,4,17,14,6,35
180,1,45602,45602,189,66,4.545454545454546,1.0101010101010102,0,0,243.06738739528967,240,720,40,0,0,0,0,0,7,36,31,26,45,0,8,6,0,7,286,0,0,0,0,0,7,65,620,26,47,0,8,6,0,7
180,1,45274,45274,189,63,5.555555555555555,6.0606060606060606,0,0,234.25832707514246,240,720,46,0,0,0,0,2,3,26,52,0,42,8,45,13,25,14,495,0,0,0,0,2,3,72,879,0,63,17,46,30,36,25
180,1,45068,45068,191,56,0.0,2.525252525252525,0,0,234.29316810153546,240,720,41,0,0,0,21,0,0,47,21,0,0,0,0,19,5,0,371,0,0,0,21,0,0,90,77,0,0,0,0,19,9,0
180,1,44778,44778,191,63,1.5151515151515151,5.555555555555555,0,0,230.5029590423869,240,720,45,0,0,0,14,0,0,67,32,0,28,4,31,22,10,5,437,0,0,0,14,0,0,83,378,0,28,4,47,40,15,5
180,1,45051,45051,193,59,3.535353535353535,5.555555555555555,0,0,242.64301569332534,240,720,47,0,0,0,61,10,3,30,33,0,34,0,39,6,8,6,600,0,0,0,61,10,3,48,364,0,34,0,54,9,15,8
180,1,45497,45497,188,60,2.525252525252525,2.525252525252525,0,0,235.06192716003252,240,720,43,13,26,77,17,5,3,14,28,0,79,5,9,15,10,7,385,13,26,77,17,5,3,23,380,0,79,5,18,35,13,23
180,1,44927,44927,190,55,6.0606060606060606,11.11111111111111,0,0,225.8660827564716,240,720,45,12,0,23,23,24,32,24,48,0,38,25,26,13,2,4,420,12,0,29,51,37,32,48,600,0,86,52,53,18,2,7
180,1,45160,45160,187,60,3.0303030303030303,4.040404040404041,0,0,233.96594331266607,240,720,43,0,0,0,13,0,0,56,38,0,27,25,15,19,22,0,427,0,0,0,13,0,0,106,1123,0,31,39,29,39,22,0
180,1,45734,45734,192,65,3.0303030303030303,4.040404040404041,0,0,241.45418069707438,240,720,38,0,4,0,0,13,21,25,30,0,7,7,8,9,10,0,308,0,4,0,0,24,41,53,394,0,7,7,12,9,12,0
180,1,44476,44476,190,52,1.0101010101010102,3.0303030303030303,0,0,227.27377686842343,240,720,43,0,0,0,0,0,0,31,22,0,39,0,8,9,39,18,385,0,0,0,0,0,0,74,130,0,39,0,15,10,39,24
180,1,45128,45128,191,56,4.040404040404041,6.0606060606060606,0,0,222.07251595461798,240,720,42,0,0,32,9,0,7,67,39,0,0,18,0,9,0,0,401,0,0,32,9,0,7,158,883,0,0,18,0,9,0,0
180,1,45560,45560,192,54,4.040404040404041,8.585858585858585,0,0,231.82266242317823,240,720,46,0,0,0,0,0,24,21,47,0,5,14,5,10,8,27,426,0,0,0,0,0,24,45,1356,0,5,14,10,16,8,27
180,1,44932,44932,188,64,1.5151515151515151,3.535353535353535,0,0,239.63133179026084,240,720,41,0,0,0,0,0,7,56,31,0,38,13,9,0,1,0,370,0,0,0,0,0,7,89,373,0,38,13,9,0,1,1
180,1,45699,45699,193,60,5.05050505050505,7.575757575757576,0,0,230.200628022495,240,720,46,0,0,0,0,9,1,26,39,12,61,11,24,4,5,10,375,0,0,0,0,9,1,92,381,18,87,18,69,7,7,19
180,1,44562,44562,192,57,0.5050505050505051,3.0303030303030303,0,0,232.0007068803016,240,720,40,0,0,0,0,0,0,0,23,0,0,0,12,19,26,0,378,0,0,0,0,0,0,0,87,0,0,0,12,19,26,0
180,1,44820,44820,193,54,0.5050505050505051,3.0303030303030303,0,0,232.7900713966979,240,720,44,0,0,0,0,0,0,7,29,0,28,11,0,0,0,13,369,0,0,0,0,0,0,7,372,0,28,11,0,0,0,23
180,1,45463,45463,190,48,1.0101010101010102,3.0303030303030303,0,0,233.8154873193586,240,720,45,0,0,10,58,35,11,16,27,0,55,12,11,10,20,27,420,0,0,10,116,35,19,52,108,0,56,24,29,15,41,30
180,1,45050,45050,188,52,1.5151515151515151,3.535353535353535,0,0,240.51552719200888,240,720,41,0,0,0,27,5,6,32,27,0,15,6,39,23,15,8,339,0,0,0,27,5,6,73,96,0,15,10,96,36,32,16
180,1,45081,45081,194,58,2.0202020202020203,3.535353535353535,0,0,233.3575453073357,240,720,52,0,0,0,0,0,0,43,24,0,48,23,16,27,13,23,430,0,0,0,0,0,0,70,111,0,74,33,23,41,29,23
180,1,45136,45136,194,63,2.0202020202020203,5.05050505050505,0,0,225.0509017192485,240,720,41,0,0,0,25,15,0,26,24,0,45,29,52,16,7,10,431,0,0,0,25,15,0,26,89,0,45,29,77,16,13,19
180,1,44557,44557,192,57,1.5151515151515151,1.0101010101010102,0,0,232.1908566555199,240,720,45,0,0,0,7,0,0,26,24,0,36,5,1,20,12,18,459,0,0,0,7,0,0,55,92,0,69,5,1,35,12,18
