q,schedule,passenger_entered,passenger_exited,trams_too_late_cs,trams_too_late_pr, %trams_late_PR>1,%trams_lateCS>1,trams_too_early_cs,trams_too_early_pr,AVG_passenger_waiting_time,peak_tram_freq,offpeak_tram_freq,average_tramqueue_time_P+R De Uithof,average_tramqueue_time_WKZ,average_tramqueue_time_UMC,average_tramqueue_time_Heidelberglaan,average_tramqueue_time_Padualaan,average_tramqueue_time_Kromme Rijn,average_tramqueue_time_Galgenwaard,average_tramqueue_time_Vaartsche Rijn,average_tramqueue_time_Centraal Station,average_tramqueue_time_Vaartsche Rijn 2,average_tramqueue_time_Galgenwaard 2,average_tramqueue_time_Kromme Rijn 2,average_tramqueue_time_Padualaan 2,average_tramqueue_time_Heidelberglaan 2,average_tramqueue_time_UMC 2,average_tramqueue_time_WKZ 2,max_tramqueue_time_P+R De Uithof,max_tramqueue_time_WKZ,max_tramqueue_time_UMC,max_tramqueue_time_Heidelberglaan,max_tramqueue_time_Padualaan,max_tramqueue_time_Kromme Rijn,max_tramqueue_time_Galgenwaard,max_tramqueue_time_Vaartsche Rijn,max_tramqueue_time_Centraal Station,max_tramqueue_time_Vaartsche Rijn 2,max_tramqueue_time_Galgenwaard 2,max_tramqueue_time_Kromme Rijn 2,max_tramqueue_time_Padualaan 2,max_tramqueue_time_Heidelberglaan 2,max_tramqueue_time_UMC 2,max_tramqueue_time_WKZ 2
180,1,162095,162089,196,198,60.1010101010101,72.22222222222221,0,0,2011.5403744717603,240,720,28,18,16,27,30,0,0,41,36,54,43,13,17,17,14,22,228,34,44,75,168,0,0,86,296,187,132,39,41,51,28,72
180,1,162302,162296,195,197,53.03030303030303,58.58585858585859,0,0,2161.5863421276385,240,720,28,21,48,18,30,0,0,50,29,53,30,17,12,29,11,12,331,45,152,55,89,0,0,198,136,171,83,52,40,60,32,25
180,1,162739,162732,195,198,43.43434343434344,52.52525252525253,0,0,2243.968139167624,240,720,29,21,29,22,46,0,0,46,30,40,39,5,19,23,13,13,219,52,98,95,156,0,0,141,152,128,176,13,58,51,42,40
180,1,160122,160117,194,197,47.97979797979798,53.535353535353536,0,0,1686.6696518904334,240,720,29,18,30,25,25,11,20,64,27,46,35,9,14,15,17,21,160,48,86,51,139,11,34,148,127,220,94,15,34,37,41,39
180,1,163173,163166,195,196,46.464646464646464,57.07070707070707,0,0,2113.6867588387786,240,720,28,38,40,19,44,6,5,41,28,36,36,7,13,9,16,18,228,123,203,61,152,7,6,159,194,158,71,13,39,22,56,38
180,1,161173,161165,196,195,38.88888888888889,54.54545454545454,0,0,1812.5986982931383,240,720,31,23,17,25,6,6,3,43,30,57,35,18,16,12,11,14,355,45,39,155,16,11,4,96,239,278,75,40,37,36,26,35
180,1,162932,162927,196,198,58.58585858585859,67.17171717171718,0,0,2095.362565364692,240,720,30,23,33,32,28,12,11,47,25,43,33,18,15,19,7,27,179,51,106,99,106,12,24,129,160,172,81,35,33,34,12,65
180,1,163137,163130,196,197,66.66666666666666,74.74747474747475,0,0,2103.6181093191612,240,720,28,52,22,24,32,14,27,61,31,49,39,15,16,11,11,19,290,105,92,160,153,14,39,216,143,167,121,31,39,32,31,41
180,1,161017,161011,196,197,67.67676767676768,73.73737373737373,0,0,1839.7450921331288,240,720,24,26,29,21,53,18,2,39,37,51,38,7,11,21,11,12,160,75,101,70,139,18,3,136,599,215,117,20,29,55,27,26
180,1,162095,162089,196,197,60.60606060606061,70.2020202020202,0,0,1971.047592461211,240,720,26,31,30,21,30,1,0,49,35,54,35,8,24,17,19,10,126,63,85,68,81,1,0,159,310,167,96,25,49,43,53,37
