q,schedule,passenger_entered,passenger_exited,trams_too_late_cs,trams_too_late_pr, %trams_late_PR>1,%trams_lateCS>1,trams_too_early_cs,trams_too_early_pr,AVG_passenger_waiting_time,peak_tram_freq,offpeak_tram_freq,average_tramqueue_time_P+R De Uithof,average_tramqueue_time_WKZ,average_tramqueue_time_UMC,average_tramqueue_time_Heidelberglaan,average_tramqueue_time_Padualaan,average_tramqueue_time_Kromme Rijn,average_tramqueue_time_Galgenwaard,average_tramqueue_time_Vaartsche Rijn,average_tramqueue_time_Centraal Station,average_tramqueue_time_Vaartsche Rijn 2,average_tramqueue_time_Galgenwaard 2,average_tramqueue_time_Kromme Rijn 2,average_tramqueue_time_Padualaan 2,average_tramqueue_time_Heidelberglaan 2,average_tramqueue_time_UMC 2,average_tramqueue_time_WKZ 2,max_tramqueue_time_P+R De Uithof,max_tramqueue_time_WKZ,max_tramqueue_time_UMC,max_tramqueue_time_Heidelberglaan,max_tramqueue_time_Padualaan,max_tramqueue_time_Kromme Rijn,max_tramqueue_time_Galgenwaard,max_tramqueue_time_Vaartsche Rijn,max_tramqueue_time_Centraal Station,max_tramqueue_time_Vaartsche Rijn 2,max_tramqueue_time_Galgenwaard 2,max_tramqueue_time_Kromme Rijn 2,max_tramqueue_time_Padualaan 2,max_tramqueue_time_Heidelberglaan 2,max_tramqueue_time_UMC 2,max_tramqueue_time_WKZ 2
180,1,98252,98249,196,192,10.606060606060606,14.646464646464647,0,0,181.7488295403656,240,720,40,0,1,37,21,4,4,35,27,35,15,0,14,19,17,30,335,0,1,84,49,4,10,108,110,44,15,0,14,19,17,50
180,1,99506,99502,196,194,24.747474747474747,27.77777777777778,0,0,184.4810363194179,240,720,43,1,30,29,17,12,24,41,32,62,59,23,22,8,13,13,352,3,48,55,45,32,67,114,221,150,119,37,59,14,31,19
180,1,100180,100176,197,195,27.77777777777778,29.797979797979796,0,0,191.18083449790376,240,720,42,8,40,19,22,9,12,52,40,39,47,14,14,14,15,19,307,22,57,53,46,26,25,150,549,97,104,30,39,54,26,37
180,1,99003,99000,195,194,14.14141414141414,20.2020202020202,0,0,190.22164479864247,240,720,38,36,30,20,14,10,8,53,35,19,48,14,23,13,14,24,386,36,63,39,28,23,15,120,407,48,63,23,33,18,26,46
180,1,99585,99581,196,194,28.78787878787879,29.797979797979796,0,0,193.88632324145203,240,720,45,0,7,16,33,19,11,62,34,18,55,0,23,18,19,22,512,0,14,26,95,37,22,165,168,48,187,0,76,49,52,50
180,1,99378,99374,194,194,23.232323232323232,28.28282828282828,0,0,192.15415886815995,240,720,40,33,38,23,26,15,5,46,34,30,24,11,9,11,18,19,411,37,103,56,85,24,12,157,298,47,78,16,26,43,45,46
180,1,99743,99738,194,196,18.181818181818183,24.747474747474747,0,0,187.66021174418256,240,720,43,14,13,17,17,8,8,55,33,50,38,0,16,21,14,23,340,16,23,21,44,11,18,156,366,165,74,0,41,47,26,54
180,1,98371,98368,195,195,13.636363636363635,15.151515151515152,0,0,190.1000243974342,240,720,39,0,20,9,8,14,16,56,29,19,40,19,5,14,25,17,444,0,20,18,13,23,37,162,190,51,94,26,9,23,53,34
180,1,98260,98256,194,194,9.595959595959595,15.656565656565657,0,0,187.70073783838794,240,720,41,0,16,27,14,0,0,47,26,37,8,14,19,7,19,18,421,0,16,45,14,0,0,136,91,37,17,27,26,13,35,30
180,1,98336,98333,197,196,10.606060606060606,23.737373737373737,0,0,185.14876545720793,240,720,42,12,40,30,26,12,0,49,27,12,48,8,8,20,17,34,450,12,53,62,38,12,0,128,87,22,127,10,10,22,48,91
180,1,98581,98577,195,193,11.616161616161616,20.707070707070706,0,0,180.48258285065074,240,720,40,0,0,48,18,0,1,41,32,17,15,13,15,4,9,22,335,0,0,48,18,0,1,138,193,17,54,23,35,5,16,39
180,1,99609,99605,197,193,19.696969696969695,26.262626262626267,0,0,194.22576273228321,240,720,40,12,20,25,14,12,18,55,41,28,34,10,17,13,13,19,396,14,33,82,36,25,40,132,847,63,95,18,62,34,33,57
180,1,97644,97640,196,190,11.11111111111111,21.21212121212121,0,0,180.91911945434435,240,720,36,21,25,22,13,22,10,47,29,64,68,16,23,13,27,15,423,21,36,37,13,22,20,104,129,83,100,33,40,20,30,36
180,1,99314,99310,197,195,16.666666666666664,23.737373737373737,0,0,188.08384517792052,240,720,39,28,30,7,28,12,11,51,29,29,46,7,20,16,17,12,413,28,48,16,58,24,24,101,138,55,112,13,72,38,31,24
180,1,98949,98947,193,194,16.161616161616163,19.19191919191919,0,0,188.3510747961071,240,720,41,0,33,23,19,15,0,39,28,36,25,11,16,5,13,21,463,0,41,43,28,22,0,75,110,53,65,27,41,12,18,38
180,1,98364,98360,195,195,12.121212121212121,17.67676767676768,0,0,186.31971046317759,240,720,38,0,30,28,13,0,12,60,27,19,23,10,13,15,10,16,377,0,49,49,14,0,19,162,114,28,49,14,20,26,18,29
180,1,99654,99651,197,192,25.757575757575758,27.77777777777778,0,0,193.70463804764486,240,720,41,32,38,18,17,14,18,40,30,52,33,14,28,12,16,21,412,66,107,53,43,22,29,131,216,249,61,36,72,26,32,55
180,1,98331,98327,196,196,12.121212121212121,14.14141414141414,0,0,186.0157325767052,240,720,38,0,41,11,12,0,2,37,26,38,49,14,5,17,6,19,372,0,58,18,28,0,2,94,115,84,140,24,10,28,14,74
180,1,99106,99102,195,195,16.161616161616163,21.21212121212121,0,0,185.76808164995055,240,720,42,2,60,23,13,14,30,46,28,61,13,5,12,10,16,32,558,4,82,37,24,30,30,178,129,77,23,6,21,26,30,92
180,1,99427,99424,196,195,17.67676767676768,21.71717171717172,0,0,192.8500910215535,240,720,38,26,30,30,28,10,5,54,37,62,13,13,15,15,13,19,345,48,54,150,68,21,11,156,478,106,32,26,34,22,36,36
180,1,98544,98540,197,196,12.121212121212121,21.71717171717172,0,0,186.53443132001948,240,720,37,0,17,7,49,12,11,31,34,29,34,7,16,7,16,5,398,0,17,13,51,12,22,132,572,45,64,11,22,7,26,8
180,1,99971,99967,197,193,22.22222222222222,28.28282828282828,0,0,192.30930969981296,240,720,41,22,31,28,16,18,16,58,31,45,18,19,9,10,17,10,421,22,63,58,46,51,49,154,220,126,49,36,26,36,48,37
180,1,98972,98968,197,192,12.626262626262626,20.2020202020202,0,0,185.65788303762682,240,720,37,0,15,16,42,14,12,50,32,25,16,0,24,3,21,11,300,0,27,25,107,29,20,152,366,55,36,0,55,5,56,27
180,1,97476,97471,194,194,12.121212121212121,16.161616161616163,0,0,181.73550412409207,240,720,39,0,70,11,26,23,14,45,28,0,40,14,17,9,4,11,441,0,70,16,51,42,23,92,142,0,73,25,33,17,6,18
180,1,98553,98549,195,198,14.646464646464647,15.151515151515152,0,0,184.02571712682516,240,720,40,0,10,10,22,3,9,48,31,18,31,8,12,14,12,26,357,0,16,10,27,5,10,208,551,18,38,14,23,43,14,71
180,1,99031,99027,196,196,16.666666666666664,20.2020202020202,0,0,185.82496894911694,240,720,37,7,31,42,22,23,1,49,29,39,49,14,22,12,15,17,396,7,51,71,67,31,1,166,365,65,108,28,79,30,35,41
180,1,98265,98260,196,193,16.666666666666664,21.21212121212121,0,0,185.37142929832595,240,720,39,0,17,42,24,14,9,56,29,69,28,12,16,14,15,17,418,0,42,72,76,23,17,132,132,122,115,20,40,30,45,38
180,1,98249,98246,197,192,11.616161616161616,17.67676767676768,0,0,184.34303657034678,240,720,40,15,34,22,29,16,16,43,27,21,37,17,13,13,13,23,396,29,64,51,93,19,26,150,126,54,105,17,26,23,27,52
