q,schedule,passenger_entered,passenger_exited,trams_too_late_cs,trams_too_late_pr, %trams_late_PR>1,%trams_lateCS>1,trams_too_early_cs,trams_too_early_pr,AVG_passenger_waiting_time,peak_tram_freq,offpeak_tram_freq,average_tramqueue_time_P+R De Uithof,average_tramqueue_time_WKZ,average_tramqueue_time_UMC,average_tramqueue_time_Heidelberglaan,average_tramqueue_time_Padualaan,average_tramqueue_time_Kromme Rijn,average_tramqueue_time_Galgenwaard,average_tramqueue_time_Vaartsche Rijn,average_tramqueue_time_Centraal Station,average_tramqueue_time_Vaartsche Rijn 2,average_tramqueue_time_Galgenwaard 2,average_tramqueue_time_Kromme Rijn 2,average_tramqueue_time_Padualaan 2,average_tramqueue_time_Heidelberglaan 2,average_tramqueue_time_UMC 2,average_tramqueue_time_WKZ 2,max_tramqueue_time_P+R De Uithof,max_tramqueue_time_WKZ,max_tramqueue_time_UMC,max_tramqueue_time_Heidelberglaan,max_tramqueue_time_Padualaan,max_tramqueue_time_Kromme Rijn,max_tramqueue_time_Galgenwaard,max_tramqueue_time_Vaartsche Rijn,max_tramqueue_time_Centraal Station,max_tramqueue_time_Vaartsche Rijn 2,max_tramqueue_time_Galgenwaard 2,max_tramqueue_time_Kromme Rijn 2,max_tramqueue_time_Padualaan 2,max_tramqueue_time_Heidelberglaan 2,max_tramqueue_time_UMC 2,max_tramqueue_time_WKZ 2
180,1,68583,68583,173,84,2.525252525252525,7.07070707070707,0,0,394.2005088724611,240,720,38,0,0,30,42,0,0,82,29,95,34,12,26,16,9,7,272,0,0,53,66,0,0,158,600,152,78,38,45,27,13,20
180,1,69788,69788,169,77,3.535353535353535,5.555555555555555,0,0,445.17965839399324,240,720,42,0,0,0,0,0,0,14,31,0,16,38,18,13,26,7,420,0,0,0,0,0,0,29,208,0,23,38,31,22,41,18
180,1,68637,68637,167,63,0.5050505050505051,3.535353535353535,0,0,409.8431385404374,240,720,39,0,0,0,0,2,7,30,28,0,6,6,14,0,0,0,343,0,0,0,0,2,11,90,139,0,10,6,16,0,0,0
180,1,69440,69440,179,80,5.05050505050505,13.131313131313133,0,0,447.46001584101384,240,720,38,0,3,52,21,0,0,54,48,6,17,6,8,10,10,8,360,0,3,152,44,0,0,74,612,6,33,9,16,11,12,21
180,1,68957,68957,172,67,6.0606060606060606,7.575757575757576,0,0,426.2388880026683,240,720,39,0,0,0,0,10,0,28,44,0,7,0,16,7,11,0,350,0,0,0,0,10,0,68,1080,0,7,0,44,11,29,1
180,1,69017,69017,165,61,1.5151515151515151,4.545454545454546,0,0,426.3668154222873,240,720,40,0,0,23,0,0,0,17,26,0,34,30,31,32,0,1,420,0,0,23,0,0,0,31,119,0,50,30,51,56,0,1
180,1,69255,69255,166,72,6.0606060606060606,13.131313131313133,0,0,417.7515125261714,240,720,40,5,11,32,25,11,1,39,50,0,51,9,25,7,19,2,327,5,11,50,52,15,1,100,1424,0,97,20,63,11,23,2
180,1,69238,69238,181,59,9.090909090909092,10.606060606060606,0,0,429.57923394667665,240,720,50,0,0,42,3,0,0,19,41,0,33,26,8,3,48,6,512,0,0,107,3,0,0,45,847,0,43,26,10,5,48,7
180,1,68242,68242,171,61,2.0202020202020203,3.0303030303030303,0,0,366.8821253773336,240,720,46,0,0,2,24,1,1,23,23,0,1,7,23,7,5,0,397,0,0,2,46,1,1,47,110,0,1,11,27,7,5,0
180,1,68106,68106,170,51,0.5050505050505051,4.545454545454546,0,0,394.6774806918627,240,720,46,0,0,0,2,45,3,30,28,0,49,18,20,0,16,0,378,0,0,0,2,45,3,62,349,0,49,35,20,0,16,0
180,1,69842,69842,174,73,3.535353535353535,7.07070707070707,0,0,423.84391197273845,240,720,45,22,58,17,14,0,0,20,33,12,29,13,44,9,3,11,365,22,58,17,24,0,0,53,389,19,65,21,72,13,3,19
180,1,70019,70019,175,80,4.545454545454546,7.07070707070707,0,0,468.36705751296074,240,720,49,0,0,3,22,56,2,51,27,6,7,0,14,19,0,7,384,0,0,3,22,56,2,106,144,6,7,0,28,23,0,13
180,1,68763,68763,167,71,3.0303030303030303,8.585858585858585,0,0,427.1270596105464,240,720,43,3,10,71,31,14,16,43,32,0,51,7,16,9,1,12,412,3,10,123,55,28,16,48,407,0,51,11,28,22,4,21
180,1,68489,68489,171,71,2.0202020202020203,7.575757575757576,0,0,404.95964315437516,240,720,41,0,0,0,33,0,0,42,27,0,36,0,20,13,9,18,368,0,0,0,44,0,0,104,142,0,96,0,45,21,21,33
180,1,68700,68700,169,64,3.0303030303030303,6.565656565656567,0,0,416.86977438136825,240,720,44,0,0,3,53,16,20,14,35,0,39,13,13,13,14,1,360,0,0,3,53,17,20,30,403,0,65,21,23,36,20,1
180,1,69842,69842,171,78,4.545454545454546,8.080808080808081,0,0,430.35124280518886,240,720,42,0,0,22,9,19,0,48,30,0,52,5,77,34,6,0,408,0,0,30,9,19,0,86,375,0,72,8,77,34,6,0
180,1,69022,69022,173,80,3.535353535353535,9.595959595959595,0,0,424.0742879082032,240,720,45,15,8,19,22,28,3,24,38,0,16,8,25,12,11,7,354,15,8,19,29,28,3,71,953,0,42,12,39,16,12,7
180,1,69275,69275,171,71,3.535353535353535,7.575757575757576,0,0,434.7610609888127,240,720,40,0,80,69,22,20,6,29,35,16,35,10,12,24,15,8,420,0,80,98,31,20,6,68,654,16,64,22,13,28,21,13
180,1,68527,68527,172,77,4.545454545454546,5.05050505050505,0,0,374.0940942985976,240,720,47,0,0,7,17,7,6,54,22,84,7,0,11,15,8,25,514,0,0,7,41,14,13,63,90,84,11,0,11,26,13,25
180,1,69719,69719,169,69,7.07070707070707,13.131313131313133,0,0,417.7070597684993,240,720,52,0,0,8,21,11,29,44,34,0,35,9,16,14,19,6,510,0,0,11,68,31,41,129,381,0,74,20,30,23,23,6
